name,lat,lon,risk,temperature,humidity,category
Gachibowli,17.4401,78.3489,31,25.1,67,MODERATE
Madhapur,17.4483,78.3915,38,25.7,70,MODERATE
Kondapur,17.4580,78.3600,35,25.4,69,MODERATE
Kukatpally,17.4849,78.4138,42,25.8,72,HIGH
Secunderabad,17.4399,78.4983,46,26.1,74,HIGH
Begumpet,17.4447,78.4660,39,25.6,71,MODERATE
Charminar,17.3616,78.4747,51,26.4,77,HIGH
Mehdipatnam,17.3940,78.4399,44,26.0,74,HIGH
LB Nagar,17.3499,78.5570,56,26.8,80,HIGH
Uppal,17.4058,78.5591,48,26.2,75,HIGH
HITEC City,17.4483,78.3790,41,25.9,72,HIGH
Shamshabad,17.2403,78.4294,29,24.9,65,MODERATE
